Id,geometry,Prob_O,Prob_N,Prob_G,Prob_R,cls
DANANG_0,"POLYGON ((107.9770045270891 15.91326557055338, 107.9768693949586 15.92229339828204, 107.98619928923 15.9224239967236, 107.9863340058617 15.91339609114097, 107.9770045270891 15.91326557055338))",,,,,Nopattern
DANANG_1,"POLYGON ((107.9863340058617 15.91339609114097, 107.98619928923 15.9224239967236, 107.9955292699722 15.92255419289379, 107.9956635710869 15.91352620969691, 107.9863340058617 15.91339609114097))",,,,,Nopattern
DANANG_2,"POLYGON ((107.9956635710869 15.91352620969691, 107.9955292699722 15.92255419289379, 108.0048593369186 15.92268398677588, 108.0049932224984 15.91365592620447, 107.9956635710869 15.91352620969691))",,,,,Nopattern
DANANG_3,"POLYGON ((108.0049932224984 15.91365592620447, 108.0048593369186 15.92268398677588, 108.0141894898029 15.92281337835319, 108.0143229598296 15.91378524064697, 108.0049932224984 15.91365592620447))",,,,,Nopattern
DANANG_4,"POLYGON ((107.9675395874245 15.92216239758591, 107.9674039528096 15.93119013855572, 107.9767341760907 15.93132121735222, 107.9768693949586 15.92229339828204, 107.9675395874245 15.92216239758591))",,,,,Nopattern
DANANG_5,"POLYGON ((107.9768693949586 15.92229339828204, 107.9767341760907 15.93132121735222, 107.9860644861274 15.93145189365442, 107.98619928923 15.9224239967236, 107.9768693949586 15.92229339828204))",,,,,Nopattern
DANANG_6,"POLYGON ((107.98619928923 15.9224239967236, 107.9860644861274 15.93145189365442, 107.995394882653 15.93158216744554, 107.9955292699722 15.92255419289379, 107.98619928923 15.9224239967236))",,,,,Nopattern
DANANG_7,"POLYGON ((107.9955292699722 15.92255419289379, 107.995394882653 15.93158216744554, 108.0047253654011 15.93171203870882, 108.0048593369186 15.92268398677588, 107.9955292699722 15.92255419289379))",,,,,Nopattern
DANANG_8,"POLYGON ((108.0048593369186 15.92268398677588, 108.0047253654011 15.93171203870882, 108.014055934105 15.93184150742755, 108.0141894898029 15.92281337835319, 108.0048593369186 15.92268398677588))",,,,,Nopattern
DANANG_9,"POLYGON ((108.0141894898029 15.92281337835319, 108.014055934105 15.93184150742755, 108.0233865884981 15.93197057358509, 108.0235197283585 15.92294236760906, 108.0141894898029 15.92281337835319))",,,,,Nopattern
DANANG_10,"POLYGON ((108.0235197283585 15.92294236760906, 108.0233865884981 15.93197057358509, 108.0327173283138 15.93209923716485, 108.0328500523187 15.92307095452693, 108.0235197283585 15.92294236760906))",,,,,Nopattern
DANANG_11,"POLYGON ((108.0515109553871 15.92332692128253, 108.0513790631468 15.93235535652488, 108.0607100576307 15.93248281227222, 108.0608415339621 15.92345430108736, 108.0515109553871 15.92332692128253))",6.786335688957479e-06,0.9999885559082031,1.6882225395420392e-07,4.422325218911283e-06,Nopattern
DANANG_12,"POLYGON ((108.0608415339621 15.92345430108736, 108.0607100576307 15.93248281227222, 108.0700411364708 15.93260986537591, 108.0701721968755 15.92358127848835, 108.0608415339621 15.92345430108736))",6.786335688957479e-06,0.9999885559082031,1.6882225395420392e-07,4.422325218911283e-06,Nopattern
DANANG_13,"POLYGON ((108.0701721968755 15.92358127848835, 108.0700411364708 15.93260986537591, 108.0793722994003 15.93273651581959, 108.0795029438607 15.92370785346917, 108.0701721968755 15.92358127848835))",,,,,Nopattern
DANANG_14,"POLYGON ((108.0795029438607 15.92370785346917, 108.0793722994003 15.93273651581959, 108.0887035461526 15.932862763587, 108.0888337746511 15.92383402601356, 108.0795029438607 15.92370785346917))",,,,,Nopattern
DANANG_15,"POLYGON ((108.1261579305314 15.92433469150289, 108.1260293660555 15.93336372756987, 108.135361027921 15.93348796171336, 108.1354891763479 15.92445885162269, 108.1261579305314 15.92433469150289))",0.8441264629364014,0.011195561848580837,0.045419927686452866,0.09925805777311325,Organic
DANANG_16,"POLYGON ((108.1354891763479 15.92445885162269, 108.135361027921 15.93348796171336, 108.1446927720089 15.93361179308392, 108.1448205043695 15.92458260920947, 108.1354891763479 15.92445885162269))",0.1696518212556839,0.6928199529647827,0.021174248307943344,0.11635399609804153,Nopattern
DANANG_17,"POLYGON ((108.1448205043695 15.92458260920947, 108.1446927720089 15.93361179308392, 108.1540245980525 15.93373522166563, 108.1541519143296 15.92470596424731, 108.1448205043695 15.92458260920947))",0.0015514339320361614,0.9970819354057312,0.0003371741622686386,0.0010294548701494932,Nopattern
DANANG_18,"POLYGON ((107.9580738165504 15.93105865728178, 107.9579376789181 15.94008631123498, 107.9672682311726 15.94021787085573, 107.9674039528096 15.93119013855572, 107.9580738165504 15.93105865728178))",,,,,Nopattern
DANANG_19,"POLYGON ((107.9674039528096 15.93119013855572, 107.9672682311726 15.94021787085573, 107.9765988704674 15.94034902775932, 107.9767341760907 15.93132121735222, 107.9674039528096 15.93119013855572))",,,,,Nopattern
DANANG_20,"POLYGON ((107.9767341760907 15.93132121735222, 107.9765988704674 15.94034902775932, 107.9859295965359 15.94047978192888, 107.9860644861274 15.93145189365442, 107.9767341760907 15.93132121735222))",,,,,Nopattern
DANANG_21,"POLYGON ((107.9860644861274 15.93145189365442, 107.9859295965359 15.94047978192888, 107.9952604091116 15.94061013334759, 107.995394882653 15.93158216744554, 107.9860644861274 15.93145189365442))",,,,,Nopattern
DANANG_22,"POLYGON ((107.995394882653 15.93158216744554, 107.9952604091116 15.94061013334759, 108.0045913079277 15.9407400819987, 108.0047253654011 15.93171203870882, 107.995394882653 15.93158216744554))",,,,,Nopattern
DANANG_23,"POLYGON ((108.0047253654011 15.93171203870882, 108.0045913079277 15.9407400819987, 108.0139222927177 15.9408696278655, 108.014055934105 15.93184150742755, 108.0047253654011 15.93171203870882))",,,,,Nopattern
DANANG_24,"POLYGON ((108.014055934105 15.93184150742755, 108.0139222927177 15.9408696278655, 108.023253363215 15.94099877093132, 108.0233865884981 15.93197057358509, 108.014055934105 15.93184150742755))",,,,,Nopattern
DANANG_25,"POLYGON ((108.0233865884981 15.93197057358509, 108.023253363215 15.94099877093132, 108.0325845191529 15.94112751117957, 108.0327173283138 15.93209923716485, 108.0233865884981 15.93197057358509))",,,,,Nopattern
DANANG_26,"POLYGON ((108.0327173283138 15.93209923716485, 108.0325845191529 15.94112751117957, 108.0419157602647 15.94125584859368, 108.0420481532856 15.93222749815028, 108.0327173283138 15.93209923716485))",,,,,Nopattern
DANANG_27,"POLYGON ((108.0420481532856 15.93222749815028, 108.0419157602647 15.94125584859368, 108.0512470862837 15.94138378315715, 108.0513790631468 15.93235535652488, 108.0420481532856 15.93222749815028))",,,,,Nopattern
DANANG_28,"POLYGON ((108.0513790631468 15.93235535652488, 108.0512470862837 15.94138378315715, 108.0605784969433 15.94151131485353, 108.0607100576307 15.93248281227222, 108.0513790631468 15.93235535652488))",,,,,Nopattern
DANANG_29,"POLYGON ((108.0607100576307 15.93248281227222, 108.0605784969433 15.94151131485353, 108.0699099919767 15.94163844366641, 108.0700411364708 15.93260986537591, 108.0607100576307 15.93248281227222))",,,,,Nopattern
DANANG_30,"POLYGON ((108.0700411364708 15.93260986537591, 108.0699099919767 15.94163844366641, 108.0792415711172 15.94176516957946, 108.0793722994003 15.93273651581959, 108.0700411364708 15.93260986537591))",,,,,Nopattern
DANANG_31,"POLYGON ((108.0793722994003 15.93273651581959, 108.0792415711172 15.94176516957946, 108.0885732340981 15.94189149257637, 108.0887035461526 15.932862763587, 108.0793722994003 15.93273651581959))",,,,,Nopattern
DANANG_32,"POLYGON ((108.0887035461526 15.932862763587, 108.0885732340981 15.94189149257637, 108.0979049806526 15.94201741264089, 108.098034876461 15.93298860866189, 108.0887035461526 15.932862763587))",,,,,Nopattern
DANANG_33,"POLYGON ((108.098034876461 15.93298860866189, 108.0979049806526 15.94201741264089, 108.107236810514 15.94214292975683, 108.1073662900587 15.93311405102808, 108.098034876461 15.93298860866189))",,,,,Nopattern
DANANG_34,"POLYGON ((108.1166977866792 15.93323909066943, 108.1165687234155 15.94226804390804, 108.1259007190903 15.94239275507844, 108.1260293660555 15.93336372756987, 108.1166977866792 15.93323909066943))",0.00036044284934177995,0.9993871450424194,3.306104918010533e-05,0.00021935485710855573,Nopattern
