ID,geometry,Prob_O,Prob_N,Prob_G,Prob_R,cls
DANANG_0,"POLYGON ((176297.3226174336 11762184.27596655, 176297.3226174336 11762684.27596655, 176797.3226174336 11762684.27596655, 176797.3226174336 11762184.27596655, 176297.3226174336 11762184.27596655))",,,,,Nopattern
DANANG_1,"POLYGON ((176797.3226174336 11762184.27596655, 176797.3226174336 11762684.27596655, 177297.3226174336 11762684.27596655, 177297.3226174336 11762184.27596655, 176797.3226174336 11762184.27596655))",,,,,Nopattern
DANANG_2,"POLYGON ((177297.3226174336 11762184.27596655, 177297.3226174336 11762684.27596655, 177797.3226174336 11762684.27596655, 177797.3226174336 11762184.27596655, 177297.3226174336 11762184.27596655))",,,,,Nopattern
DANANG_3,"POLYGON ((177797.3226174336 11762184.27596655, 177797.3226174336 11762684.27596655, 178297.3226174336 11762684.27596655, 178297.3226174336 11762184.27596655, 177797.3226174336 11762184.27596655))",,,,,Nopattern
DANANG_4,"POLYGON ((178297.3226174336 11762184.27596655, 178297.3226174336 11762684.27596655, 178797.3226174336 11762684.27596655, 178797.3226174336 11762184.27596655, 178297.3226174336 11762184.27596655))",,,,,Nopattern
DANANG_5,"POLYGON ((178797.3226174336 11762184.27596655, 178797.3226174336 11762684.27596655, 179297.3226174336 11762684.27596655, 179297.3226174336 11762184.27596655, 178797.3226174336 11762184.27596655))",,,,,Nopattern
DANANG_6,"POLYGON ((179297.3226174336 11762184.27596655, 179297.3226174336 11762684.27596655, 179797.3226174336 11762684.27596655, 179797.3226174336 11762184.27596655, 179297.3226174336 11762184.27596655))",,,,,Nopattern
DANANG_7,"POLYGON ((175797.3226174336 11762684.27596655, 175797.3226174336 11763184.27596655, 176297.3226174336 11763184.27596655, 176297.3226174336 11762684.27596655, 175797.3226174336 11762684.27596655))",,,,,Nopattern
DANANG_8,"POLYGON ((176297.3226174336 11762684.27596655, 176297.3226174336 11763184.27596655, 176797.3226174336 11763184.27596655, 176797.3226174336 11762684.27596655, 176297.3226174336 11762684.27596655))",,,,,Nopattern
DANANG_9,"POLYGON ((176797.3226174336 11762684.27596655, 176797.3226174336 11763184.27596655, 177297.3226174336 11763184.27596655, 177297.3226174336 11762684.27596655, 176797.3226174336 11762684.27596655))",,,,,Nopattern
DANANG_10,"POLYGON ((177297.3226174336 11762684.27596655, 177297.3226174336 11763184.27596655, 177797.3226174336 11763184.27596655, 177797.3226174336 11762684.27596655, 177297.3226174336 11762684.27596655))",,,,,Nopattern
DANANG_11,"POLYGON ((177797.3226174336 11762684.27596655, 177797.3226174336 11763184.27596655, 178297.3226174336 11763184.27596655, 178297.3226174336 11762684.27596655, 177797.3226174336 11762684.27596655))",,,,,Nopattern
DANANG_12,"POLYGON ((178297.3226174336 11762684.27596655, 178297.3226174336 11763184.27596655, 178797.3226174336 11763184.27596655, 178797.3226174336 11762684.27596655, 178297.3226174336 11762684.27596655))",,,,,Nopattern
DANANG_13,"POLYGON ((178797.3226174336 11762684.27596655, 178797.3226174336 11763184.27596655, 179297.3226174336 11763184.27596655, 179297.3226174336 11762684.27596655, 178797.3226174336 11762684.27596655))",,,,,Nopattern
DANANG_14,"POLYGON ((179297.3226174336 11762684.27596655, 179297.3226174336 11763184.27596655, 179797.3226174336 11763184.27596655, 179797.3226174336 11762684.27596655, 179297.3226174336 11762684.27596655))",,,,,Nopattern
DANANG_15,"POLYGON ((179797.3226174336 11762684.27596655, 179797.3226174336 11763184.27596655, 180297.3226174336 11763184.27596655, 180297.3226174336 11762684.27596655, 179797.3226174336 11762684.27596655))",,,,,Nopattern
DANANG_16,"POLYGON ((180297.3226174336 11762684.27596655, 180297.3226174336 11763184.27596655, 180797.3226174336 11763184.27596655, 180797.3226174336 11762684.27596655, 180297.3226174336 11762684.27596655))",,,,,Nopattern
DANANG_17,"POLYGON ((185797.3226174336 11762684.27596655, 185797.3226174336 11763184.27596655, 186297.3226174336 11763184.27596655, 186297.3226174336 11762684.27596655, 185797.3226174336 11762684.27596655))",,,,,Nopattern
DANANG_18,"POLYGON ((186297.3226174336 11762684.27596655, 186297.3226174336 11763184.27596655, 186797.3226174336 11763184.27596655, 186797.3226174336 11762684.27596655, 186297.3226174336 11762684.27596655))",,,,,Nopattern
DANANG_19,"POLYGON ((186797.3226174336 11762684.27596655, 186797.3226174336 11763184.27596655, 187297.3226174336 11763184.27596655, 187297.3226174336 11762684.27596655, 186797.3226174336 11762684.27596655))",,,,,Nopattern
DANANG_20,"POLYGON ((187297.3226174336 11762684.27596655, 187297.3226174336 11763184.27596655, 187797.3226174336 11763184.27596655, 187797.3226174336 11762684.27596655, 187297.3226174336 11762684.27596655))",,,,,Nopattern
DANANG_21,"POLYGON ((187797.3226174336 11762684.27596655, 187797.3226174336 11763184.27596655, 188297.3226174336 11763184.27596655, 188297.3226174336 11762684.27596655, 187797.3226174336 11762684.27596655))",,,,,Nopattern
DANANG_22,"POLYGON ((175297.3226174336 11763184.27596655, 175297.3226174336 11763684.27596655, 175797.3226174336 11763684.27596655, 175797.3226174336 11763184.27596655, 175297.3226174336 11763184.27596655))",,,,,Nopattern
DANANG_23,"POLYGON ((175797.3226174336 11763184.27596655, 175797.3226174336 11763684.27596655, 176297.3226174336 11763684.27596655, 176297.3226174336 11763184.27596655, 175797.3226174336 11763184.27596655))",,,,,Nopattern
DANANG_24,"POLYGON ((176297.3226174336 11763184.27596655, 176297.3226174336 11763684.27596655, 176797.3226174336 11763684.27596655, 176797.3226174336 11763184.27596655, 176297.3226174336 11763184.27596655))",,,,,Nopattern
DANANG_25,"POLYGON ((176797.3226174336 11763184.27596655, 176797.3226174336 11763684.27596655, 177297.3226174336 11763684.27596655, 177297.3226174336 11763184.27596655, 176797.3226174336 11763184.27596655))",,,,,Nopattern
DANANG_26,"POLYGON ((177297.3226174336 11763184.27596655, 177297.3226174336 11763684.27596655, 177797.3226174336 11763684.27596655, 177797.3226174336 11763184.27596655, 177297.3226174336 11763184.27596655))",,,,,Nopattern
DANANG_27,"POLYGON ((177797.3226174336 11763184.27596655, 177797.3226174336 11763684.27596655, 178297.3226174336 11763684.27596655, 178297.3226174336 11763184.27596655, 177797.3226174336 11763184.27596655))",,,,,Nopattern
DANANG_28,"POLYGON ((178297.3226174336 11763184.27596655, 178297.3226174336 11763684.27596655, 178797.3226174336 11763684.27596655, 178797.3226174336 11763184.27596655, 178297.3226174336 11763184.27596655))",,,,,Nopattern
DANANG_29,"POLYGON ((178797.3226174336 11763184.27596655, 178797.3226174336 11763684.27596655, 179297.3226174336 11763684.27596655, 179297.3226174336 11763184.27596655, 178797.3226174336 11763184.27596655))",,,,,Nopattern
DANANG_30,"POLYGON ((179297.3226174336 11763184.27596655, 179297.3226174336 11763684.27596655, 179797.3226174336 11763684.27596655, 179797.3226174336 11763184.27596655, 179297.3226174336 11763184.27596655))",,,,,Nopattern
DANANG_31,"POLYGON ((179797.3226174336 11763184.27596655, 179797.3226174336 11763684.27596655, 180297.3226174336 11763684.27596655, 180297.3226174336 11763184.27596655, 179797.3226174336 11763184.27596655))",,,,,Nopattern
DANANG_32,"POLYGON ((180297.3226174336 11763184.27596655, 180297.3226174336 11763684.27596655, 180797.3226174336 11763684.27596655, 180797.3226174336 11763184.27596655, 180297.3226174336 11763184.27596655))",,,,,Nopattern
DANANG_33,"POLYGON ((180797.3226174336 11763184.27596655, 180797.3226174336 11763684.27596655, 181297.3226174336 11763684.27596655, 181297.3226174336 11763184.27596655, 180797.3226174336 11763184.27596655))",,,,,Nopattern
DANANG_34,"POLYGON ((181297.3226174336 11763184.27596655, 181297.3226174336 11763684.27596655, 181797.3226174336 11763684.27596655, 181797.3226174336 11763184.27596655, 181297.3226174336 11763184.27596655))",,,,,Nopattern
DANANG_35,"POLYGON ((181797.3226174336 11763184.27596655, 181797.3226174336 11763684.27596655, 182297.3226174336 11763684.27596655, 182297.3226174336 11763184.27596655, 181797.3226174336 11763184.27596655))",,,,,Nopattern
DANANG_36,"POLYGON ((184797.3226174336 11763184.27596655, 184797.3226174336 11763684.27596655, 185297.3226174336 11763684.27596655, 185297.3226174336 11763184.27596655, 184797.3226174336 11763184.27596655))",,,,,Nopattern
DANANG_37,"POLYGON ((185297.3226174336 11763184.27596655, 185297.3226174336 11763684.27596655, 185797.3226174336 11763684.27596655, 185797.3226174336 11763184.27596655, 185297.3226174336 11763184.27596655))",,,,,Nopattern
DANANG_38,"POLYGON ((185797.3226174336 11763184.27596655, 185797.3226174336 11763684.27596655, 186297.3226174336 11763684.27596655, 186297.3226174336 11763184.27596655, 185797.3226174336 11763184.27596655))",,,,,Nopattern
